loan_amnt,int_rate,emp_length,annual_inc,delinq_2yrs,earliest_cr_line,total_acc,total_bal_ex_mort
12000,11.49,10,35000,0,5471,25,20767
28000,6.68,6,272000,0,9277,29,156516
9600,9.99,2,74000,1,5228,32,88434
15225,20.99,10,67463.2,0,6171,21,77103
12000,6.92,10,150000,0,12503,29,69242
10000,7.89,10,126000,0,3737,7,15104
18825,13.66,10,45000,1,6810,13,9131
17375,17.86,5,52000,1,4010,27,69190
6000,6.92,2,48000,0,7875,13,12999
21000,9.99,7,150000,2,5836,28,154745
5000,11.53,2,30000,1,10493,17,12561
8000,7.89,1,50000,0,3676,13,13894
13025,20.99,3,38500,0,3249,22,60090
14000,9.99,6,55000,0,6171,36,51853
6000,13.67,10,80000,0,4557,13,40096
10000,13.33,0,45000,0,6810,32,23032
12000,12.39,5,49405,0,7571,18,68458
20225,13.99,10,46000,1,7328,15,20157
5000,9.17,6,80000,1,4588,33,127181
10800,5.32,0,70000,0,11741,36,22890
8400,7.49,1,75000,0,6233,50,47193
12000,7.89,10,70000,0,7266,10,7476
8000,9.17,10,83500,0,5744,14,30747
5275,17.57,3,46000,0,2914,14,35822
8000,9.17,10,52600,0,7450,54,30921
5000,11.22,6,78000,0,4741,17,13332
28000,13.33,4,130000,3,7389,38,68741
5000,7.89,3,50000,0,3918,14,30097
12000,17.57,3,33936,0,4041,13,33228
4000,8.38,3,34000,0,4436,19,38359
7200,11.44,4,55000,0,5198,24,22073
20000,6.89,3,100000,0,9823,34,56780
6000,9.17,10,160000,0,6141,22,51080
13825,18.84,1,45000,0,4467,24,65289
13000,9.17,1,75000,1,13080,23,16813
12000,12.39,5,60000,0,5410,24,45510
2500,13.44,10,38000,2,6506,38,20967
10000,17.86,1,36000,0,5897,12,19085
5000,10.99,0,16354.8,0,12988,16,4855
16800,14.65,10,52000,0,10646,18,40138
28425,12.69,10,175000,0,5958,18,110721
20000,6.89,10,72000,1,12350,15,19319
6000,7.89,7,58000,0,5652,23,38076
20000,8.67,10,95000,0,7144,34,49854
6000,16.99,8,75000,1,11407,44,44759
6000,9.49,9,60000,0,6720,31,21832
9650,11.53,10,61000,2,6720,21,84504
13825,11.53,0,49860,1,6383,36,29900
4000,11.53,0,12993.88,0,7113,14,69511
13000,13.33,10,58000,0,8666,37,31307
14000,10.64,10,50000,0,6018,22,36909
4825,14.65,4,50000,0,6110,26,32372
6200,10.99,10,50000,0,4588,26,25421
27000,6.24,10,75000,0,11954,32,28156
7500,6.68,10,120000,0,7906,49,31011
17000,7.26,8,95000,2,8362,36,25561
28000,8.18,5,72500,0,12564,15,16724
3250,15.61,1,41000,0,4497,12,5903
11725,16.55,4,43959,1,7205,23,51122
19925,12.05,5,98000,0,6263,15,45867
2800,9.17,1,62000,1,4953,26,38343
30000,9.17,10,94644,0,6689,26,44250
25000,11.99,5,92700,0,6689,18,65775
7200,9.17,1,85000,0,5805,15,61249
10000,17.86,3,35000,0,5958,26,16379
15000,7.89,10,130000,0,5259,40,59991
21600,13.67,0,70060,0,4557,27,68501
4000,15.61,10,106000,1,4680,33,58792
28000,6.92,10,142000,0,10372,29,32104
6000,5.32,2,56400,0,5836,12,24836
9000,10.49,2,35000,0,4680,12,9269
7000,7.89,1,29016,0,3584,12,28583
7200,9.99,0,27000,1,6963,29,23533
24000,13.33,7,51481,0,7266,35,150009
8500,12.29,1,36000,0,5593,9,6706
2000,8.18,1,36000,0,5045,18,14743
35000,6.92,10,100000,0,8515,33,81084
